product_name,unit_price,archetype,corpus_count
es teh,5000,fast,38
es jeruk,7000,fast,23
teh hangat,5000,fast,19
air es,2000,fast,15
pulpen,5000,fast,15
garam,6000,fast,14
gula,17000,fast,14
air putih,2000,fast,13
nasi kotak,25000,fast,12
snack,15000,fast,12
gorengan,2000,fast,11
es campur,15000,fast,10
es kelapa,7000,fast,10
hvs a 4 sidu,55000,fast,10
gula pasir,13000,fast,9
mie goreng,15000,fast,9
minyak goreng,16000,fast,9
nasi goreng,15000,fast,9
penghapus,4000,fast,9
telur,2500,fast,9
tepung,18000,steady,9
buku gambar,12000,steady,8
kopi,2000,steady,8
lemper,2500,steady,8
risoles,2500,steady,8
lontong,4000,steady,7
peraut,2000,steady,7
soto ayam,18000,steady,7
stapler,15000,steady,7
teh,5500,steady,7
tepung terigu,12000,steady,7
tipe x,7000,steady,7
arem arem,2500,steady,6
blue band,8000,steady,6
bolu kukus,2000,steady,6
brosur,2000,steady,6
charger hp,60000,steady,6
nastar 1 kg,68000,steady,6
penggaris,5000,steady,6
pensil,4500,steady,6
putri salju 1 kg,65000,steady,6
putu ayu,2500,steady,6
semprit 1 kg,60000,steady,6
cucur,2000,steady,5
cutter,7000,steady,5
earphone,45000,steady,5
ganti baterai,150000,steady,5
hvs a 3 sidu,96000,steady,5
indomie,3000,steady,5
nasi sop,17000,steady,5
sate ayam,2000,steady,5
spanduk,35000,steady,5
sticky note,8000,steady,5
teh celup,6000,steady,5
telur ayam,2000,steady,5
buku tulis pack,48000,steady,4
es teh tawar,3000,steady,4
gunting,8000,steady,4
kentang balado,17000,steady,4
kertas hvs a 4,45000,steady,4
kopi sachet,2000,intermittent,4
lakban bening,15000,intermittent,4
margarin,8000,intermittent,4
nasi mawut,15000,intermittent,4
pisang goreng,2000,intermittent,4
pulpen pack,24000,intermittent,4
rawon,22000,intermittent,4
bakaran paha,6000,intermittent,3
bakwan,2000,intermittent,3
bubur ayam,15000,intermittent,3
es durian semok,28000,intermittent,3
es susu putih,7000,intermittent,3
es teler,25000,intermittent,3
ganti kabel,25000,intermittent,3
indomie ayam,21000,intermittent,3
isolasi,17000,intermittent,3
kastengel 1 kg,130000,intermittent,3
kerupuk,3000,intermittent,3
lem fox,15000,intermittent,3
mie kari ayam,3000,intermittent,3
mie soto banjar,3500,intermittent,3
minyak goreng 1 l,17000,intermittent,3
mouse,50000,intermittent,3
nasi pecel,25000,intermittent,3
nota kontan,6000,intermittent,3
paha bakar,8000,intermittent,3
pentol bakar,5000,intermittent,3
pisang keju,18000,intermittent,3
roti bakar coklat,17000,intermittent,3
roti keju,120000,intermittent,3
roti nanas,11000,intermittent,3
sate bebek,2500,intermittent,3
servis kipas angin,50000,intermittent,3
sosis bakar,10000,intermittent,3
steropom,10000,intermittent,3
stop map,2000,intermittent,3
tahu isi,2000,intermittent,3
telur bebek,3000,intermittent,3
telur puyuh,500,intermittent,3
air mineral,2000,intermittent,2
anti gores,20000,intermittent,2
ayam gami teri,36000,intermittent,2
ayam sambal gami,36000,intermittent,2
ayam sambal korek,23000,intermittent,2
bakaran kulit,3000,intermittent,2
bakaran sayap,7000,intermittent,2
bakaran usus,4000,intermittent,2
bakso,20000,intermittent,2
bebek lalapan,48000,intermittent,2
buku tulis,45000,intermittent,2
capcay kuah ayam,23000,intermittent,2
casing hp,35000,intermittent,2
cetak foto 30 r,150000,intermittent,2
cuci motor,10000,intermittent,2
deterjen,15000,intermittent,2
donat,2000,intermittent,2
es buah,23000,intermittent,2
es campur durian,35000,intermittent,2
es oyen durian,28000,intermittent,2
es susu coklat,8000,intermittent,2
es teler durian,35000,lumpy,2
extra joss susu,11000,lumpy,2
gado gado,17000,lumpy,2
ganti busi,15000,lumpy,2
ganti oli motor,45000,lumpy,2
gorengan pisang,2000,lumpy,2
hvs a 3,500,lumpy,2
jasa pengecekan,20000,lumpy,2
jeruk hangat,7000,lumpy,2
jus mangga,17000,lumpy,2
kabel hdmi,45000,lumpy,2
kacang telor 1 kg,30000,lumpy,2
kertas folio,25000,lumpy,2
kopi hitam,7000,lumpy,2
kue cincin,1500,lumpy,2
kulit bakar,3000,lumpy,2
lakban hitam,13000,lumpy,2
lidah kucing 1 kg,125000,lumpy,2
map plastik,5000,lumpy,2
